*** A (/course/2194793/goethe-zertifikat-a1-wordlist/1/)
ab	from
aber	but
abfahren	depart
die Abfahrt	farewell
abgeben	submit
abholen	pick up
der Absender	sender
Achtung	danger
die Adresse	address
alles	all
allein	alone
also	so
alt	old
das Alter	age
an	on
anbieten	to offer
das Angebot	offer
andere/anderes/anderer	or
anfangen	to begin
anklicken	click
ankommen	arrive
die Ankunft	arrival
ankreuzen	mark with a cross/check
anmachen	to turn on
anmelden	sign in; enroll
die Anmeldung	registration
anrufen	call
der Anrufbeantworter	answering machine
die Ansage	announcement
der Anschluss	connection
antworten	reply
die Anzeige	advertisement, notice
anziehen	attract
sich anziehen	to get dressed
das Apartment	apartment
der Apfel	Apple
der Appetit	appetite
die Arbeit	work
arbeitslos	unemployed
der Arbeitsplatz	workplace
der Arm	arm
der Arzt	doctor
auch	also
auf	on
die Aufgabe	task
aufhören	stop
auf sein	to be up
aufstehen	get up
der Aufzug	elevator
das Auge	eye
aus	out
der Ausflug	flight
ausfüllen	completion
der Ausgang	exit
die Auskunft	information
das Ausland	foreign country
der Ausländer	foreigner
ausländisch	foreign
ausmachen	make up
die Aussage	statement
aussehen	appearance
aussteigen	get out
der Ausweis	ID card
ausziehen	move out
sich ausziehen	strip off
das Auto	car
die Autobahn	highway
der Automat	automaton
automatisch	automatically
*** B (/course/2194793/goethe-zertifikat-a1-wordlist/2/)
das Baby	baby
die Bäckerei	bakery
das Bad	bathroom
baden	to bathe
die Bahn	train
der Bahnhof	station
der Bahnsteig	platform
bald	soon
der Balkon	balcony
die Banane	banana
die Bank	bank
der Bauch	belly
der Baum	tree
der Beamte	official
bedeuten	mean
beginnen	begin
bei	at
beide	both
das Bein	leg
das Beispiel	example
zum Beispiel	for example
bekannt	known
der/die Bekannte	acquaintance
bekommen	to get
benutzen	use
der Beruf	job
besetzt	occupied
besichtigen	visit
besser	better
bestellen	to order
besuchen	visit
das Bett	bed
bezahlen	pay
das Bier	beer
das Bild	picture
billig	cheap
die Birne	pear
bis	to
bisschen	little
bitte	please; you're welcome
bitten	ask
bitter	bitter
bleiben	stay
der Bleistift	pencil
der Blick	view
die Blume	flower
der Bogen	arc
böse	angry
brauchen	need
breit	wide
der Brief	letter
die Briefmarke	stamp
bringen	bring
das Brot	bread
das Brötchen	bread bun
der Bruder	bror
das Buch	book
der Buchstabe	letter
buchstabieren	spell
der Bus	bus
die Butter	butter
*** C (/course/2194793/goethe-zertifikat-a1-wordlist/3/)
das Café	cafe
die CD	cd
der Chef	boss
circa/ca.	circa/aprox.
der Computer	computer
*** D (/course/2194793/goethe-zertifikat-a1-wordlist/4/)
die Dame	lady
daneben	besides
der Dank	thanks
dann	then
das Datum	date
dauern	last
dein	your
denn	because
dich	you
dies	this
dir	to you
die Disco	disco
der Doktor	doctor
das Doppelzimmer	double bedroom
das Dorf	village
dort	there
draußen	outside
drucken	to press
der Drucker	printer
drücken	to press
drücken etwas	to push something
durch	by
die Durchsage	announcement
dürfen	allowed
der Durst	thirst
sich duschen	take a shower
die Dusche	shower
*** E (/course/2194793/goethe-zertifikat-a1-wordlist/5/)
die Ecke	corner
die Ehefrau	wife
der Ehemann	husband
das Ei	egg
eilig	hurried
ein	on
einfach	easy
er	he
es	it
euer	your
der Eingang	entrance
einkaufen	shopping
einladen	invite
die Einladung	invitation
einmal	once
noch einmal	once again
einsteigen	enter
der Eintritt	entry
das Einzelzimmer	single room
die Eltern	parents
die E-Mail	e-mail
