*** A (/course/2041639/goethe-zertifikat-b1-wortliste/1/)
ab	from
abbiegen	to turn off, bend
die Abbildung	illustration
das Abenteuer	adventure
aber	but
abfahren	to depart
die Abfahrt	departure
der Abfall	waste, rubbish, garbage
der Abfalleimer	garbage can
die Abgase	exhaust, waste gases (Pl.)
abgeben	to hand in
abhängen (von)	to depend upon
abhängig	dependent on
abheben	to lift (up)
abholen	to pick up (from a place)
abschreiben	to copy, write off
das Abitur	school graduation exam
ablehnen	to refuse
abmachen	to agree on, decide, settle
abnehmen	to take off, remove, take away, loose weight
abonnieren	to subscribe
das Abonnement	subscription
absagen	to cancel, call off
der Abschied	farewell, goodbye
der Abschluss	school graduation or result
der Abschnitt	section, sector
der Absender	sender
die Absicht	intention
absolut	absolute
abstimmen	to vote
die Abteilung	department
abwärts	downwards
abwaschen	wash up, to do the dishes
abwesend	absent, away
achten auf	to pay attention (to)
Achtung	attention
die Adresse	address
ähnlich	similar
die Ahnung	idea, suspicion
die Aktion	action
aktiv	active
die Aktivität	activity
aktuell	current (now)
akzeptieren	to accept
der Alarm	alarm
der Alkohol	alcohol
all-	all
allein	alone
allerdings	though, indeed, certainly
allgemein	general
der Alltag	daily routine
alltäglich	daily, usual
das Alphabet	alphabet
als	when, as, than
als ob	as if, as though
also	so, therefore
alt	old
das Alter	age
das Altenheim/ das Altersheim	old people's home
alternativ	alternative
die Alternative	alternative
die Ampel	traffic light
das Amt	office
sich amüsieren	to amuse oneself
an	on, at, to
analysieren	to analyse
anbieten	to offer
der Anbieter	supplier
das Angebot	offer
anderer	other (m.)
andere	other (f.)
anderes	other (n.)
andererseits	on the other hand
ändern	to change
die Änderung	change
anders	different
anerkennen	to recognize
anfangen	to begin
der Anfang	beginning
anfangs	initially
die Angabe	declaration, statement, information, representation
angeben	to claim, declare, show off
der Angehörige	relative (cousin, etc)
angenehm	pleasant
die Angst	fear, anxiety
ängstlich	nervous, worried, timid
anhaben	to have on, wear
anklicken	to click on
ankommen	to arrive
die Ankunft	arrival
ankündigen	to announce
die Anlage	attachment 
die Anleitung	instruction
(sich) anmelden für	to register, sign up
die Anmeldung	registration
annehmen	to assume, accept, take
die Annonce	advertisement
die Anrede	opening, salutation
anrufen	to telephone, call, call out
der Anruf	call
der Anrufbeantworter	answering machine
die Ansage	advertisement
anschaffen	to purchase
anschließen	to connect
der Anschluss	connection (TV, internet)
anschnallen	to strap in, fasten seat belt
ansehen	to look at, watch
ansprechen	to address, speak
der Anspruch	claim
anstellen	to employ, line up
der Angestellte	employee
sich anstrengen	to tire oneself out, strain oneself
anstrengend	exhausting, tiring
der Antrag	application
anwenden	to use, employ, apply
anwesend	present
antworten auf	to answer
die Antwort	answer
der Anwalt	lawyer
anzeigen	to report (to police), show, announce
die Anzeige	advertisement, announcement
sich anziehen	to put on (clothing); to get dressed
der Anzug	suit
das Apartment	apartment
der Apfel	apple
die Apotheke	pharmacy
der Apparat	device, appliance, machine
der Appetit	appetite
die Aprikose	apricot
die Arbeit	work
arbeiten	to work
der Arbeiter	worker
die Arbeitserlaubnis	work permit
arbeitslos	unemployed
die Arbeitslosigkeit	unemployment
der Arbeitsplatz/ die Arbeitsstelle	work places, jobs
der Architekt	architect
sich ärgern	to be annoyed
der Ärger	annoyance
ärgerlich	annoying
arm	poor
der Arm	arm
die Art	type
der Artikel	article
der Arzt	doctor
das Asyl	asylum
atmen	to breathe
der Atem	breathing
auch	also, too, as well
auf	on, at, in
der Aufenthalt	stay, residence
auffallen	to stand out, notice
auffordern	to request, ask
die Aufforderung	order, invitation
aufführen	to perform
die Aufgabe	task, exercise, assignment
aufgeben	to give in, give up
aufhalten	to detain, check, hold/ keep open
aufheben	to pick up, keep, lift
aufhören	to stop
aufladen	to load
auflösen	to dissolve
aufmerksam	attentive
aufnehmen	to receive, pick up, admit, include
die Aufnahme	reception, recording, snapshot
aufpassen	to be careful, to take care
aufräumen	to tidy up
aufregen	to excite, upset, annoy
